"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Fears for T N pension after talks Unions representing workers at Turner   Newall [[say]] they are 'disappointed' after talks with stricken parent firm Federal Mogul.","Fears for T N pension after talks Unions representing workers at Turner   Newall [[explained]] they are 'disappointed' after talks with stricken parent firm Federal Mogul.",0.007458329200744629,0.9099318385124207,2,0,2,66,"Successful"
"The [[Race]] is On: Second Private [[Team]] Sets Launch Date for Human Spaceflight (SPACE.com) SPACE.com - TORONTO, Canada -- A second\[[team]] of rocketeers competing for the  #36;10 million Ansari X Prize, a [[contest]] for\privately [[funded]] suborbital [[space]] [[flight]], has officially announced the first\launch date for its manned rocket.","The [[Errands]] is On: Second Private [[Computer]] Sets Launch Date for Human Spaceflight (SPACE.com) SPACE.com - TORONTO, Canada -- A second\[[grupo]] of rocketeers competing for the  #36;10 million Ansari X Prize, a [[competitiveness]] for\privately [[subsidized]] suborbital [[distance]] [[snatching]], has officially announced the first\launch date for its manned rocket.",0.0014579296112060547,0.033495545387268066,3,3,3,622,"Failed"
"Ky. Company Wins Grant to Study Peptides (AP) AP - A [[company]] founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.","Ky. Company Wins Grant to Study Peptides (AP) AP - A [[corp]] founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.",0.001053154468536377,0.9788859486579895,3,2,3,57,"Successful"
"Prediction Unit Helps Forecast Wildfires (AP) AP - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful maps, figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar.","Prediction Unit Helps Forecast Wildfires (AP) AP - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful maps, figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar.",0.9811605215072632,0.9811605215072632,1,1,3,1,"Skipped"
"Calif. Aims to Limit Farm-Related Smog (AP) AP - Southern California's smog-fighting agency went after [[emissions]] of the bovine variety Friday, adopting the nation's first [[rules]] to reduce air pollution from dairy [[cow]] manure.","Calif. Aims to Limit Farm-Related Smog (AP) AP - Southern California's smog-fighting agency went after [[issuance]] of the bovine variety Friday, adopting the nation's first [[regulates]] to reduce air pollution from dairy [[blimp]] manure.",0.002207517623901367,0.575558066368103,3,2,3,180,"Successful"
"Open Letter Against British Copyright [[Indoctrination]] in Schools The British Department for Education and Skills (DfES) recently launched a ""[[Music]] Manifesto"" campaign, with the ostensible intention of educating the next generation of British musicians. Unfortunately, they also teamed up with the [[music]] industry (EMI, and various artists) to make this popular. EMI has apparently [[negotiated]] their end well, so that children in our schools will now be indoctrinated about the illegality of downloading music.The ignorance and audacity of this got to me a little, so I wrote an open letter to the DfES about it. Unfortunately, it's pedantic, as I suppose you have to be when writing to goverment representatives. But I hope you find it useful, and perhaps feel inspired to do something similar, if or when the same thing has happened in your area.","Open Letter Against British Copyright [[Demagogy]] in Schools The British Department for Education and Skills (DfES) recently launched a ""[[Singer]] Manifesto"" campaign, with the ostensible intention of educating the next generation of British musicians. Unfortunately, they also teamed up with the [[electronica]] industry (EMI, and various artists) to make this popular. EMI has apparently [[negotiator]] their end well, so that children in our schools will now be indoctrinated about the illegality of downloading music.The ignorance and audacity of this got to me a little, so I wrote an open letter to the DfES about it. Unfortunately, it's pedantic, as I suppose you have to be when writing to goverment representatives. But I hope you find it useful, and perhaps feel inspired to do something similar, if or when the same thing has happened in your area.",0.0409015417098999,0.3434954285621643,3,3,3,1775,"Failed"
"[[Loosing]] the War on Terrorism \\""Sven Jaschan, self-confessed author of the Netsky and Sasser viruses, is\responsible for 70 percent of virus infections in 2004, according to a six-month\virus roundup published [[Wednesday]] by antivirus company Sophos.""\\""The 18-year-old Jaschan was taken into custody in Germany in May by police who\said he [[had]] [[admitted]] programming both the Netsky and Sasser worms, something\experts at Microsoft confirmed. (A Microsoft antivirus [[reward]] program [[led]] to the\teenager's arrest.) During the five months preceding Jaschan's capture, there\were at least 25 variants of Netsky and one of the port-scanning network worm\Sasser.""\\""Graham Cluley, senior technology consultant at Sophos, said it was staggeri ...\\","[[Forfeits]] the War on Terrorism \\""Sven Jaschan, self-confessed author of the Netsky and Sasser viruses, is\responsible for 70 percent of virus infections in 2004, according to a six-month\virus roundup published [[Mon]] by antivirus company Sophos.""\\""The 18-year-old Jaschan was taken into custody in Germany in May by police who\said he [[possess]] [[recognise]] programming both the Netsky and Sasser worms, something\experts at Microsoft confirmed. (A Microsoft antivirus [[dividend]] program [[sparked]] to the\teenager's arrest.) During the five months preceding Jaschan's capture, there\were at least 25 variants of Netsky and one of the port-scanning network worm\Sasser.""\\""Graham Cluley, senior technology consultant at Sophos, said it was staggeri ...\\",0.0010731816291809082,0.01275336742401123,3,3,3,1152,"Failed"
"FOAFKey: FOAF, PGP, Key Distribution, and Bloom Filters \\FOAF/[[LOAF]]  and bloom filters have a lot of [[interesting]] properties for [[social]]\network and whitelist distribution.\\I think we can [[go]] one level higher though and include GPG/OpenPGP key\fingerpring distribution in the FOAF file for simple web-of-trust based key\distribution.\\What if we used FOAF and [[included]] the PGP key fingerprint(s) for identities?\This could [[mean]] a lot.  You include the PGP key fingerprints within the FOAF\file of your direct friends and then include a bloom filter of the PGP key\fingerprints of your entire whitelist (the source FOAF [[file]] would of course need\to be [[encrypted]] ).\\Your whitelist would be populated from the social network as your client\discovered new identit ...\\","FOAFKey: FOAF, PGP, Key Distribution, and Bloom Filters \\FOAF/[[SCONES]]  and bloom filters have a lot of [[fascinating]] properties for [[sociable]]\network and whitelist distribution.\\I think we can [[partir]] one level higher though and include GPG/OpenPGP key\fingerpring distribution in the FOAF file for simple web-of-trust based key\distribution.\\What if we used FOAF and [[incorporating]] the PGP key fingerprint(s) for identities?\This could [[intentioned]] a lot.  You include the PGP key fingerprints within the FOAF\file of your direct friends and then include a bloom filter of the PGP key\fingerprints of your entire whitelist (the source FOAF [[archive]] would of course need\to be [[coded]] ).\\Your whitelist would be populated from the social network as your client\discovered new identit ...\\",0.001126706600189209,0.0020749568939208984,3,3,3,1462,"Failed"
"E-mail scam targets police chief Wiltshire Police warns about ""phishing"" after its [[fraud]] squad chief was targeted.","E-mail scam targets police chief Wiltshire Police warns about ""phishing"" after its [[defrauding]] squad chief was targeted.",0.002680838108062744,0.6799298524856567,3,0,3,55,"Successful"
"Card fraud unit nets 36,000 cards In its first two years, the UK's dedicated card [[fraud]] [[unit]], has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.","Card fraud unit nets 36,000 cards In its first two years, the UK's dedicated card [[forgery]] [[apartments]], has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.",0.15122920274734497,0.9301533699035645,3,0,3,85,"Successful"
"Group to Propose New High-Speed Wireless Format  LOS ANGELES ([[Reuters]]) - A group of technology companies  [[including]] Texas Instruments Inc. &lt;TXN.N&gt;, STMicroelectronics  &lt;STM.PA&gt; and Broadcom Corp. &lt;BRCM.O&gt;, on Thursday said they  will propose a new wireless networking standard up to 10 [[times]]  the speed of the current generation.","Group to Propose New High-Speed Wireless Format  LOS ANGELES ([[Newsday]]) - A group of technology companies  [[includes]] Texas Instruments Inc. &lt;TXN.N&gt;, STMicroelectronics  &lt;STM.PA&gt; and Broadcom Corp. &lt;BRCM.O&gt;, on Thursday said they  will propose a new wireless networking standard up to 10 [[deadlines]]  the speed of the current generation.",0.0019014477729797363,0.1001465916633606,3,3,3,710,"Failed"
"Apple Launches Graphics Software, Video Bundle  LOS [[ANGELES]] (Reuters) - Apple Computer Inc.&lt;AAPL.O&gt; on  Tuesday began [[shipping]] a new program designed to [[let]] users  create real-time motion graphics and [[unveiled]] a discount  video-editing software bundle featuring its flagship [[Final]] Cut  Pro software.","Apple Launches Graphics Software, Video Bundle  LOS [[CHICAGO]] (Reuters) - Apple Computer Inc.&lt;AAPL.O&gt; on  Tuesday began [[vessel]] a new program designed to [[vacate]] users  create real-time motion graphics and [[expose]] a discount  video-editing software bundle featuring its flagship [[Elapsed]] Cut  Pro software.",0.008864402770996094,0.03884381055831909,3,3,3,874,"Failed"
"Dutch [[Retailer]] Beats Apple to Local Download Market  AMSTERDAM (Reuters) - Free Record [[Shop]], a Dutch music  retail chain, beat Apple Computer Inc. to market on Tuesday  with the launch of a new download service in Europe's latest  battleground for digital [[song]] services.","Dutch [[Shopper]] Beats Apple to Local Download Market  AMSTERDAM (Reuters) - Free Record [[Mall]], a Dutch music  retail chain, beat Apple Computer Inc. to market on Tuesday  with the launch of a new download service in Europe's latest  battleground for digital [[soong]] services.",0.06752699613571167,0.990295946598053,3,2,3,437,"Successful"
"Super ant colony hits Australia A giant 100km colony of ants  which has been discovered in Melbourne, Australia, could threaten [[local]] insect species.","Super ant colony hits Australia A giant 100km colony of ants  which has been discovered in Melbourne, Australia, could threaten [[locale]] insect species.",0.0013945698738098145,0.8146601915359497,3,0,3,22,"Successful"
"Socialites unite dolphin groups Dolphin groups, or ""pods"", rely on socialites to keep them from collapsing, scientists [[claim]].","Socialites unite dolphin groups Dolphin groups, or ""pods"", rely on socialites to keep them from collapsing, scientists [[saying]].",0.05405545234680176,0.9650256037712097,3,0,3,64,"Successful"
"Teenage T. rex's monster growth Tyrannosaurus rex achieved its massive size due to an enormous growth spurt during its adolescent years.","Teenage T. rex's monster growth Tyrannosaurus rex achieved its massive size due to an enormous growth spurt during its adolescent years.",0.9970220327377319,0.9970220327377319,2,2,3,1,"Skipped"
"Scientists Discover Ganymede has a Lumpy Interior Jet Propulsion Lab -- Scientists have discovered irregular lumps beneath the icy surface of Jupiter's largest moon, Ganymede. These irregular [[masses]] may be rock formations, [[supported]] by Ganymede's icy shell for [[billions]] of years...","Scientists Discover Ganymede has a Lumpy Interior Jet Propulsion Lab -- Scientists have discovered irregular lumps beneath the icy surface of Jupiter's largest moon, Ganymede. These irregular [[organisations]] may be rock formations, [[sponsors]] by Ganymede's icy shell for [[siu]] of years...",0.0018745064735412598,0.024027109146118164,3,3,3,784,"Failed"
"Mars Rovers Relay Images [[Through]] [[Mars]] [[Express]] [[European]] [[Space]] Agency -- ESAs Mars Express has relayed pictures from one of NASA's Mars rovers for the first time, as part of a set of interplanetary networking demonstrations.     The demonstrations pave the way for future Mars [[missions]] to draw on joint interplanetary [[networking]] capabilities...","Mars Rovers Relay Images [[With]] [[Marr]] [[Shown]] [[Europa]] [[Spatial]] Agency -- ESAs Mars Express has relayed pictures from one of NASA's Mars rovers for the first time, as part of a set of interplanetary networking demonstrations.     The demonstrations pave the way for future Mars [[mission]] to draw on joint interplanetary [[grid]] capabilities...",0.006596028804779053,0.04541635513305664,3,3,3,817,"Failed"
"Rocking the [[Cradle]] of Life When did life [[begin]]? One evidential clue stems from the fossil [[records]] in Western Australia, although whether these layered sediments are biological or chemical [[has]] spawned a spirited debate. Oxford researcher, Nicola McLoughlin, describes some of the issues in contention.","Rocking the [[Pedestals]] of Life When did life [[starter]]? One evidential clue stems from the fossil [[roster]] in Western Australia, although whether these layered sediments are biological or chemical [[have]] spawned a spirited debate. Oxford researcher, Nicola McLoughlin, describes some of the issues in contention.",0.001249551773071289,0.9990813732147217,3,1,3,168,"Successful"
"[[Storage]], servers bruise [[HP]] earnings update Earnings per share rise compared with a year ago, but company misses analysts' expectations by a long shot.","[[Storing]], servers bruise [[DW]] earnings update Earnings per share rise compared with a year ago, but company misses analysts' expectations by a long shot.",0.06176561117172241,0.9414008259773254,3,2,3,59,"Successful"
"IBM to hire even more new workers By the end of the year, the computing giant plans to [[have]] its biggest headcount since 1991.","IBM to hire even more new workers By the end of the year, the computing giant plans to [[haya]] its biggest headcount since 1991.",0.027030766010284424,0.977952778339386,3,2,3,46,"Successful"
"Sun's Looking Glass Provides 3D View Developers get [[early]] code for new [[operating]] [[system]] 'skin' still being [[crafted]].","Sun's Looking Glass Provides 3D View Developers get [[prompt]] code for new [[works]] [[schemes]] 'skin' still being [[formulate]].",0.0019329190254211426,0.596876859664917,3,2,3,141,"Successful"
"IBM Chips May Someday Heal Themselves New technology applies electrical fuses to help [[identify]] and repair faults.","IBM Chips May Someday Heal Themselves New technology applies electrical fuses to help [[detected]] and repair faults.",0.016809284687042236,0.29251527786254883,3,3,3,368,"Failed"
"Some People Not Eligible to Get in on Google IPO Google has billed its IPO as a way for everyday people to get in on the process, denying Wall Street the usual stranglehold it's had on IPOs. Public bidding, a minimum of just five shares, an open process with 28 underwriters - all this pointed to a new level of public participation. But this isn't the case.","Some People Not Eligible to Get in on Google IPO Google has billed its IPO as a way for everyday people to get in on the process, denying Wall Street the usual stranglehold it's had on IPOs. Public bidding, a minimum of just five shares, an open process with 28 underwriters - all this pointed to a new level of public participation. But this isn't the case.",0.9900952577590942,0.9900952577590942,2,2,3,1,"Skipped"
"Rivals Try to Turn Tables on Charles Schwab By MICHAEL LIEDTKE     SAN FRANCISCO (AP) -- With its low prices and iconoclastic attitude, discount stock broker Charles Schwab Corp. (SCH) represented an annoying stone in Wall Street's wing-tipped shoes for decades...","Rivals Try to Turn Tables on Charles Schwab By MICHAEL LIEDTKE     SAN FRANCISCO (AP) -- With its low prices and iconoclastic attitude, discount stock broker Charles Schwab Corp. (SCH) represented an annoying stone in Wall Street's wing-tipped shoes for decades...",0.8079551458358765,0.8079551458358765,2,2,3,1,"Skipped"
"News: Sluggish movement on power grid cyber [[security]] Industry cyber [[security]] standards fail to reach some of the most [[vulnerable]] components of the [[power]] grid.\","News: Sluggish movement on power grid cyber [[safeguard]] Industry cyber [[securing]] standards fail to reach some of the most [[undefended]] components of the [[capacity]] grid.\",0.0012226700782775879,0.9959897994995117,3,0,3,282,"Successful"
"Giddy Phelps Touches Gold for First Time Michael Phelps won the gold [[medal]] in the 400 individual medley and set a world record in a time of 4 minutes 8.26 seconds.","Giddy Phelps Touches Gold for First Time Michael Phelps won the gold [[trophies]] in the 400 individual medley and set a world record in a time of 4 minutes 8.26 seconds.",0.09408849477767944,0.5080612897872925,1,0,1,49,"Successful"
"Tougher [[rules]] won't soften Law's game FOXBOROUGH -- Looking at his ridiculously developed upper body, with huge biceps and hardly an ounce of fat, it's [[easy]] to [[see]] why [[Ty]] Law, arguably the best cornerback in football, chooses physical play over finesse. That's not to imply that he's lacking a finesse component, because he can shut down his side of the field much as Deion Sanders ...","Tougher [[regulate]] won't soften Law's game FOXBOROUGH -- Looking at his ridiculously developed upper body, with huge biceps and hardly an ounce of fat, it's [[uncomplicated]] to [[imagine]] why [[Kyle]] Law, arguably the best cornerback in football, chooses physical play over finesse. That's not to imply that he's lacking a finesse component, because he can shut down his side of the field much as Deion Sanders ...",0.0009481310844421387,0.771157443523407,1,2,1,209,"Successful"
"Shoppach doesn't appear ready to hit the next level With the weeks dwindling until Jason Varitek enters free agency, the Red Sox [[continue]] to [[carefully]] monitor Kelly Shoppach , their [[catcher]] of the future, in his climb toward the majors. The Sox like most of what they have [[seen]] at Triple [[A]] Pawtucket from Shoppach, though it remains highly uncertain whether he can make the adjustments at the plate ...","Shoppach doesn't appear ready to hit the next level With the weeks dwindling until Jason Varitek enters free agency, the Red Sox [[persist]] to [[hermetically]] monitor Kelly Shoppach , their [[pitchers]] of the future, in his climb toward the majors. The Sox like most of what they have [[found]] at Triple [[une]] Pawtucket from Shoppach, though it remains highly uncertain whether he can make the adjustments at the plate ...",0.00040405988693237305,0.0011566877365112305,1,1,1,880,"Failed"
