"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Fears for T [[N]] pension after talks Unions [[representing]] workers at Turner   Newall say they are 'disappointed' after talks with stricken parent [[firm]] Federal [[Mogul]].","Fears for T [[p]] pension after talks Unions [[actress]] workers at Turner   Newall say they are 'disappointed' after talks with stricken parent [[stabilised]] Federal [[Magnate]].",0.01880967617034912,0.9936755299568176,2,0,2,101,"Successful"
"The [[Race]] is [[On]]: Second [[Private]] Team [[Sets]] Launch [[Date]] for Human Spaceflight (SPACE.com) [[SPACE]].com - [[TORONTO]], [[Canada]] -- A second\[[team]] of rocketeers [[competing]] for the  #36;10 [[million]] Ansari X [[Prize]], a [[contest]] for\privately [[funded]] suborbital [[space]] [[flight]], [[has]] [[officially]] [[announced]] the first\[[launch]] [[date]] for its [[manned]] [[rocket]].","The [[Racing]] is [[About]]: Second [[Privately]] Team [[Playing]] Launch [[Moment]] for Human Spaceflight (SPACE.com) [[AEROSPACE]].com - [[MONTREAL]], [[Countries]] -- A second\[[machine]] of rocketeers [[racer]] for the  #36;10 [[trillion]] Ansari X [[Bounty]], a [[challenger]] for\privately [[subsidies]] suborbital [[margin]] [[midair]], [[hectares]] [[solemnly]] [[ad]] the first\[[engage]] [[stardate]] for its [[desolate]] [[munitions]].",0.0014867186546325684,0.24738645553588867,3,3,3,664,"Failed"
"[[Ky]]. Company Wins Grant to Study Peptides (AP) [[AP]] - [[A]] [[company]] founded by a chemistry [[researcher]] at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.","[[Nashville]]. Company Wins Grant to Study Peptides (AP) [[HECTARES]] - [[para]] [[corporation]] founded by a chemistry [[specialists]] at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.",0.010359704494476318,0.8079917430877686,3,2,3,115,"Successful"
"[[Prediction]] Unit Helps Forecast Wildfires (AP) AP - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful maps, figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar.","[[Speculations]] Unit Helps Forecast Wildfires (AP) AP - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful maps, figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar.",0.0017371773719787598,0.5857933759689331,3,2,3,87,"Successful"
"Calif. Aims to Limit Farm-Related [[Smog]] (AP) [[AP]] - [[Southern]] California's smog-fighting [[agency]] [[went]] after emissions of the bovine [[variety]] [[Friday]], adopting the nation's first rules to reduce air pollution from [[dairy]] [[cow]] [[manure]].","Calif. Aims to Limit Farm-Related [[Cigarettes]] (AP) [[HECTARES]] - [[Westward]] California's smog-fighting [[institutions]] [[exited]] after emissions of the bovine [[disparate]] [[Mon]], adopting the nation's first rules to reduce air pollution from [[albanians]] [[dementia]] [[bastard]].",0.04755347967147827,0.5362281799316406,3,0,3,280,"Successful"
"Open Letter Against British [[Copyright]] [[Indoctrination]] in [[Schools]] The British Department for Education and Skills (DfES) recently launched a ""Music Manifesto"" campaign, with the ostensible intention of educating the next generation of British musicians. Unfortunately, they also teamed up with the music industry ([[EMI]], and various artists) to make this popular. EMI [[has]] apparently negotiated their end well, so that children in our schools will now be [[indoctrinated]] about the illegality of [[downloading]] music.The ignorance and audacity of this got to me a [[little]], so I wrote an open letter to the DfES about it. Unfortunately, it's pedantic, as I [[suppose]] you have to be when writing to goverment representatives. But I hope you find it useful, and perhaps feel inspired to do something similar, if or when the same thing has happened in your area.","Open Letter Against British [[Author]] [[Educational]] in [[Colleges]] The British Department for Education and Skills (DfES) recently launched a ""Music Manifesto"" campaign, with the ostensible intention of educating the next generation of British musicians. Unfortunately, they also teamed up with the music industry ([[IME]], and various artists) to make this popular. EMI [[owns]] apparently negotiated their end well, so that children in our schools will now be [[lobotomized]] about the illegality of [[unloading]] music.The ignorance and audacity of this got to me a [[low]], so I wrote an open letter to the DfES about it. Unfortunately, it's pedantic, as I [[behold]] you have to be when writing to goverment representatives. But I hope you find it useful, and perhaps feel inspired to do something similar, if or when the same thing has happened in your area.",0.006865382194519043,0.5093857645988464,3,2,3,250,"Successful"
"[[Loosing]] the [[War]] on [[Terrorism]] \\""[[Sven]] Jaschan, self-confessed [[author]] of the Netsky and Sasser [[viruses]], is\responsible for 70 percent of virus [[infections]] in 2004, according to a six-month\[[virus]] roundup [[published]] Wednesday by antivirus company Sophos.""\\""The 18-year-old Jaschan was taken into custody in [[Germany]] in May by police who\[[said]] he had [[admitted]] [[programming]] both the Netsky and Sasser [[worms]], something\[[experts]] at Microsoft [[confirmed]]. ([[A]] Microsoft [[antivirus]] [[reward]] program led to the\teenager's [[arrest]].) [[During]] the five months [[preceding]] Jaschan's [[capture]], there\were at least 25 [[variants]] of Netsky and one of the port-scanning network worm\Sasser.""\\""Graham Cluley, [[senior]] technology [[consultant]] at Sophos, said it was staggeri ...\\","[[Lost]] the [[Battles]] on [[Terrorists]] \\""[[Kristian]] Jaschan, self-confessed [[creator]] of the Netsky and Sasser [[infection]], is\responsible for 70 percent of virus [[wounds]] in 2004, according to a six-month\[[viruses]] roundup [[edit]] Wednesday by antivirus company Sophos.""\\""The 18-year-old Jaschan was taken into custody in [[Ger]] in May by police who\[[saying]] he had [[accredited]] [[schemes]] both the Netsky and Sasser [[larvae]], something\[[specialty]] at Microsoft [[said]]. ([[another]] Microsoft [[viruses]] [[dividend]] program led to the\teenager's [[apprehension]].) [[Into]] the five months [[bygone]] Jaschan's [[grabbed]], there\were at least 25 [[variant]] of Netsky and one of the port-scanning network worm\Sasser.""\\""Graham Cluley, [[longest]] technology [[alderman]] at Sophos, said it was staggeri ...\\",0.0011507272720336914,0.002309441566467285,3,3,3,1101,"Failed"
"FOAFKey: FOAF, PGP, [[Key]] [[Distribution]], and Bloom [[Filters]] \\FOAF/[[LOAF]]  and bloom [[filters]] have a [[lot]] of interesting [[properties]] for social\[[network]] and whitelist [[distribution]].\\[[I]] [[think]] we can go one level [[higher]] [[though]] and [[include]] GPG/OpenPGP [[key]]\fingerpring distribution in the FOAF [[file]] for [[simple]] web-of-trust [[based]] [[key]]\[[distribution]].\\What if we used FOAF and [[included]] the PGP key [[fingerprint]](s) for [[identities]]?\[[This]] could mean a [[lot]].  You [[include]] the PGP [[key]] fingerprints within the FOAF\file of your direct [[friends]] and then include a bloom [[filter]] of the PGP [[key]]\[[fingerprints]] of your [[entire]] whitelist (the [[source]] FOAF file would of course [[need]]\to be [[encrypted]] ).\\Your whitelist would be [[populated]] from the social network as your [[client]]\[[discovered]] [[new]] identit ...\\","FOAFKey: FOAF, PGP, [[Primary]] [[Spread]], and Bloom [[Filtering]] \\FOAF/[[BUN]]  and bloom [[filter]] have a [[batch]] of interesting [[heritage]] for social\[[grids]] and whitelist [[distributes]].\\[[me]] [[brainchild]] we can go one level [[superior]] [[unless]] and [[encompassing]] GPG/OpenPGP [[elemental]]\fingerpring distribution in the FOAF [[archival]] for [[unadulterated]] web-of-trust [[basis]] [[elementary]]\[[spanned]].\\What if we used FOAF and [[inscribed]] the PGP key [[print]](s) for [[ident]]?\[[These]] could mean a [[afar]].  You [[containing]] the PGP [[elementary]] fingerprints within the FOAF\file of your direct [[boyfriend]] and then include a bloom [[screening]] of the PGP [[elemental]]\[[printer]] of your [[together]] whitelist (the [[root]] FOAF file would of course [[oughta]]\to be [[digitized]] ).\\Your whitelist would be [[inhabited]] from the social network as your [[recipient]]\[[detected]] [[latest]] identit ...\\",0.0012868642807006836,0.0023749470710754395,3,3,3,1445,"Failed"
"E-mail scam targets police chief Wiltshire Police warns about ""phishing"" after its [[fraud]] squad chief was targeted.","E-mail scam targets police chief Wiltshire Police warns about ""phishing"" after its [[deceit]] squad chief was targeted.",0.09863448143005371,0.852929413318634,3,0,3,55,"Successful"
"Card fraud unit nets 36,000 cards In its first two years, the UK's dedicated card fraud unit, [[has]] recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.","Card fraud unit nets 36,000 cards In its first two years, the UK's dedicated card fraud unit, [[is]] recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.",0.028126895427703857,0.9787095189094543,3,0,3,50,"Successful"
