"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Fears for T N pension after talks Unions representing workers at Turner   Newall say they are 'disappointed' after talks with stricken parent [[firm]] Federal [[Mogul]].","Fears for T N pension after talks Unions representing workers at Turner   Newall say they are 'disappointed' after talks with stricken parent [[company]] Federal [[Tycoons]].",0.11794894933700562,0.6181646585464478,2,0,2,61,"Successful"
"The Race is [[On]]: Second [[Private]] [[Team]] Sets [[Launch]] [[Date]] for [[Human]] Spaceflight ([[SPACE]].com) [[SPACE]].com - [[TORONTO]], [[Canada]] -- [[A]] second\[[team]] of rocketeers [[competing]] for the  #36;10 million Ansari X [[Prize]], a [[contest]] for\[[privately]] [[funded]] suborbital [[space]] [[flight]], has [[officially]] [[announced]] the first\[[launch]] [[date]] for its [[manned]] [[rocket]].","The Race is [[About]]: Second [[Privately]] [[Groups]] Sets [[Undertook]] [[Deadlines]] for [[People]] Spaceflight ([[SPACESHIP]].com) [[MARGIN]].com - [[MONTRÉAL]], [[Canadians]] -- [[para]] second\[[machines]] of rocketeers [[contested]] for the  #36;10 million Ansari X [[Prix]], a [[challenged]] for\[[surreptitiously]] [[financiers]] suborbital [[separator]] [[robbing]], has [[ceremoniously]] [[pledged]] the first\[[startup]] [[period]] for its [[desolate]] [[blasts]].",0.0012944936752319336,0.08300107717514038,3,3,3,598,"Failed"
"Ky. Company Wins [[Grant]] to [[Study]] Peptides (AP) AP - A company founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.","Ky. Company Wins [[Subsidized]] to [[Inquiry]] Peptides (AP) AP - A company founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.",0.013949573040008545,0.6846474409103394,3,2,3,118,"Successful"
"Prediction Unit Helps [[Forecast]] Wildfires (AP) AP - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful maps, figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar.","Prediction Unit Helps [[Expect]] Wildfires (AP) AP - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful maps, figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar.",0.006121933460235596,0.5569461584091187,3,1,3,90,"Successful"
"Calif. Aims to Limit Farm-Related [[Smog]] (AP) [[AP]] - [[Southern]] California's smog-fighting [[agency]] went after emissions of the [[bovine]] [[variety]] Friday, [[adopting]] the nation's first rules to reduce [[air]] pollution from dairy cow [[manure]].","Calif. Aims to Limit Farm-Related [[Smoking]] (AP) [[HECTARE]] - [[South]] California's smog-fighting [[charity]] went after emissions of the [[cow]] [[disparate]] Friday, [[accepting]] the nation's first rules to reduce [[airliners]] pollution from dairy cow [[bastard]].",0.0497894287109375,0.5343215465545654,3,0,3,277,"Successful"
"Open Letter Against British [[Copyright]] Indoctrination in Schools The British Department for Education and Skills (DfES) recently launched a ""Music Manifesto"" campaign, with the ostensible intention of educating the next generation of British musicians. Unfortunately, they also [[teamed]] up with the music industry (EMI, and [[various]] artists) to make this popular. EMI has [[apparently]] negotiated their end [[well]], [[so]] that [[children]] in our [[schools]] will now be indoctrinated about the illegality of [[downloading]] music.The [[ignorance]] and audacity of this [[got]] to me a little, so I wrote an open letter to the DfES about it. Unfortunately, it's pedantic, as I [[suppose]] you have to be when writing to goverment representatives. But I [[hope]] you [[find]] it [[useful]], and perhaps feel inspired to do something [[similar]], if or when the same thing has happened in your area.","Open Letter Against British [[Piracy]] Indoctrination in Schools The British Department for Education and Skills (DfES) recently launched a ""Music Manifesto"" campaign, with the ostensible intention of educating the next generation of British musicians. Unfortunately, they also [[tandem]] up with the music industry (EMI, and [[assortment]] artists) to make this popular. EMI has [[famously]] negotiated their end [[nice]], [[afterward]] that [[jr]] in our [[schoolhouse]] will now be indoctrinated about the illegality of [[downloads]] music.The [[indifference]] and audacity of this [[acquire]] to me a little, so I wrote an open letter to the DfES about it. Unfortunately, it's pedantic, as I [[behold]] you have to be when writing to goverment representatives. But I [[trusts]] you [[deems]] it [[lucrative]], and perhaps feel inspired to do something [[synonymous]], if or when the same thing has happened in your area.",0.0027322769165039062,0.5064398050308228,3,2,3,588,"Successful"
"[[Loosing]] the War on [[Terrorism]] \\""[[Sven]] Jaschan, self-confessed author of the Netsky and Sasser [[viruses]], is\[[responsible]] for 70 percent of virus [[infections]] in 2004, according to a six-month\[[virus]] roundup [[published]] Wednesday by antivirus [[company]] Sophos.""\\""The 18-year-old Jaschan was [[taken]] into [[custody]] in Germany in May by [[police]] who\[[said]] he [[had]] admitted [[programming]] both the Netsky and Sasser [[worms]], something\[[experts]] at [[Microsoft]] [[confirmed]]. (A Microsoft antivirus [[reward]] [[program]] [[led]] to the\teenager's [[arrest]].) [[During]] the five months preceding Jaschan's [[capture]], there\were at least 25 [[variants]] of Netsky and one of the port-scanning network [[worm]]\Sasser.""\\""Graham Cluley, senior [[technology]] [[consultant]] at Sophos, said it was staggeri ...\\","[[Loser]] the War on [[Terrorist]] \\""[[Uwe]] Jaschan, self-confessed author of the Netsky and Sasser [[virus]], is\[[upload]] for 70 percent of virus [[injure]] in 2004, according to a six-month\[[influenza]] roundup [[advertise]] Wednesday by antivirus [[industries]] Sophos.""\\""The 18-year-old Jaschan was [[effected]] into [[apprehended]] in Germany in May by [[detective]] who\[[assert]] he [[ha]] admitted [[broadcasts]] both the Netsky and Sasser [[larvae]], something\[[researchers]] at [[Adobe]] [[asserts]]. (A Microsoft antivirus [[dividend]] [[scheme]] [[brought]] to the\teenager's [[nab]].) [[En]] the five months preceding Jaschan's [[seizure]], there\were at least 25 [[alternate]] of Netsky and one of the port-scanning network [[see]]\Sasser.""\\""Graham Cluley, senior [[engineering]] [[councils]] at Sophos, said it was staggeri ...\\",0.0010985136032104492,0.0013797283172607422,3,3,3,1165,"Failed"
"FOAFKey: FOAF, PGP, [[Key]] [[Distribution]], and [[Bloom]] [[Filters]] \\FOAF/[[LOAF]]  and bloom [[filters]] [[have]] a [[lot]] of [[interesting]] [[properties]] for [[social]]\[[network]] and whitelist [[distribution]].\\I think we can go one [[level]] [[higher]] though and [[include]] GPG/OpenPGP [[key]]\fingerpring distribution in the FOAF [[file]] for [[simple]] web-of-trust [[based]] [[key]]\[[distribution]].\\What if we used FOAF and [[included]] the PGP [[key]] fingerprint(s) for [[identities]]?\[[This]] could mean a [[lot]].  You include the PGP [[key]] [[fingerprints]] within the FOAF\[[file]] of your direct [[friends]] and then [[include]] a bloom filter of the PGP [[key]]\[[fingerprints]] of your entire whitelist (the [[source]] FOAF [[file]] would of course [[need]]\to be [[encrypted]] ).\\Your whitelist would [[be]] [[populated]] from the [[social]] network as your [[client]]\discovered [[new]] identit ...\\","FOAFKey: FOAF, PGP, [[Basic]] [[Spread]], and [[Flower]] [[Filtering]] \\FOAF/[[COOK]]  and bloom [[filter]] [[fi]] a [[batch]] of [[curiosity]] [[objects]] for [[societal]]\[[web]] and whitelist [[broadcast]].\\I think we can go one [[levels]] [[greatest]] though and [[containing]] GPG/OpenPGP [[elemental]]\fingerpring distribution in the FOAF [[folder]] for [[ordinary]] web-of-trust [[situated]] [[nucleus]]\[[broadcast]].\\What if we used FOAF and [[taped]] the PGP [[elementary]] fingerprint(s) for [[ids]]?\[[These]] could mean a [[batch]].  You include the PGP [[elemental]] [[prints]] within the FOAF\[[filing]] of your direct [[folks]] and then [[therein]] a bloom filter of the PGP [[elemental]]\[[fingerprint]] of your entire whitelist (the [[originate]] FOAF [[lodged]] would of course [[would]]\to be [[encoded]] ).\\Your whitelist would [[constituted]] [[overpopulated]] from the [[societal]] network as your [[recipients]]\discovered [[ny]] identit ...\\",0.0012238621711730957,0.0019230842590332031,3,3,3,1467,"Failed"
"E-mail scam targets police chief Wiltshire Police warns about ""phishing"" after its [[fraud]] squad chief was [[targeted]].","E-mail scam targets police chief Wiltshire Police warns about ""phishing"" after its [[deceit]] squad chief was [[ambition]].",0.1069677472114563,0.5581499338150024,3,0,3,100,"Successful"
"Card fraud [[unit]] nets 36,000 cards In its first two years, the UK's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.","Card fraud [[contingent]] nets 36,000 cards In its first two years, the UK's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.",0.023554623126983643,0.672552227973938,3,0,3,39,"Successful"
