"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Fears for [[T]] N pension after talks Unions [[representing]] workers at Turner   Newall say they are 'disappointed' after [[talks]] with stricken [[parent]] firm [[Federal]] [[Mogul]].","Fears for [[tuna]] N pension after talks Unions [[delegates]] workers at Turner   Newall say they are 'disappointed' after [[lectures]] with stricken [[parenting]] firm [[Govt]] [[Giant]].",0.001963198184967041,0.5362117290496826,2,0,2,180,"Successful"
"The [[Race]] is [[On]]: Second Private [[Team]] [[Sets]] [[Launch]] [[Date]] for [[Human]] Spaceflight ([[SPACE]].com) [[SPACE]].[[com]] - [[TORONTO]], [[Canada]] -- A second\team of rocketeers [[competing]] for the  #36;10 [[million]] Ansari X Prize, a [[contest]] for\privately [[funded]] suborbital [[space]] [[flight]], [[has]] [[officially]] [[announced]] the first\[[launch]] [[date]] for its [[manned]] [[rocket]].","The [[Racing]] is [[At]]: Second Private [[Groups]] [[Playing]] [[Open]] [[Time]] for [[People]] Spaceflight ([[SPACESHIP]].com) [[MARGIN]].[[kom]] - [[CANADIAN]], [[Canadiens]] -- A second\team of rocketeers [[competitor]] for the  #36;10 [[trillion]] Ansari X Prize, a [[competitiveness]] for\privately [[subsidies]] suborbital [[margin]] [[larceny]], [[is]] [[formally]] [[decreed]] the first\[[opening]] [[timetable]] for its [[desolate]] [[bomb]].",0.00176924467086792,0.2945074439048767,3,3,3,640,"Failed"
"Ky. Company Wins Grant to Study Peptides ([[AP]]) [[AP]] - A [[company]] founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short [[chains]] of amino acids, the building blocks of proteins.","Ky. Company Wins Grant to Study Peptides ([[HECTARES]]) [[HAS]] - A [[ventures]] founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short [[cords]] of amino acids, the building blocks of proteins.",0.0047757625579833984,0.5420163869857788,3,2,3,97,"Successful"
"[[Prediction]] Unit Helps Forecast Wildfires (AP) AP - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful maps, figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar.","[[Predict]] Unit Helps Forecast Wildfires (AP) AP - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful maps, figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar.",0.41353553533554077,0.6991556882858276,3,2,3,87,"Successful"
"Calif. Aims to Limit Farm-Related [[Smog]] (AP) AP - Southern California's smog-fighting agency went after emissions of the bovine variety Friday, adopting the nation's first rules to reduce air [[pollution]] from dairy cow manure.","Calif. Aims to Limit Farm-Related [[Cigarette]] (AP) AP - Southern California's smog-fighting agency went after emissions of the bovine variety Friday, adopting the nation's first rules to reduce air [[contaminants]] from dairy cow manure.",0.024064600467681885,0.5379247665405273,3,2,3,65,"Successful"
"Open Letter Against British [[Copyright]] [[Indoctrination]] in [[Schools]] The British [[Department]] for Education and Skills (DfES) recently [[launched]] a ""[[Music]] [[Manifesto]]"" [[campaign]], with the ostensible [[intention]] of [[educating]] the next generation of British [[musicians]]. [[Unfortunately]], they also [[teamed]] up with the music industry ([[EMI]], and [[various]] artists) to make this popular. EMI [[has]] [[apparently]] [[negotiated]] their end well, [[so]] that children in our schools will now be [[indoctrinated]] about the illegality of [[downloading]] music.The ignorance and audacity of this got to me a little, so I wrote an open letter to the DfES about it. Unfortunately, it's pedantic, as I suppose you have to be when writing to goverment representatives. But I hope you find it useful, and perhaps feel inspired to do something similar, if or when the same thing has happened in your area.","Open Letter Against British [[Author]] [[Education]] in [[Academies]] The British [[Office]] for Education and Skills (DfES) recently [[instituted]] a ""[[Songs]] [[Statements]]"" [[campaigns]], with the ostensible [[meant]] of [[learning]] the next generation of British [[tunes]]. [[Regretfully]], they also [[cooperatives]] up with the music industry ([[IME]], and [[distinct]] artists) to make this popular. EMI [[ha]] [[indubitably]] [[bargain]] their end well, [[once]] that children in our schools will now be [[brainwash]] about the illegality of [[downloads]] music.The ignorance and audacity of this got to me a little, so I wrote an open letter to the DfES about it. Unfortunately, it's pedantic, as I suppose you have to be when writing to goverment representatives. But I hope you find it useful, and perhaps feel inspired to do something similar, if or when the same thing has happened in your area.",0.002391815185546875,0.5115803480148315,3,2,3,749,"Successful"
"[[Loosing]] the War on [[Terrorism]] \\""Sven Jaschan, self-confessed [[author]] of the Netsky and Sasser [[viruses]], is\responsible for 70 percent of [[virus]] [[infections]] in 2004, [[according]] to a six-month\[[virus]] roundup [[published]] Wednesday by antivirus company Sophos.""\\""The 18-year-old Jaschan was [[taken]] into [[custody]] in Germany in May by [[police]] who\[[said]] he had [[admitted]] [[programming]] both the Netsky and Sasser [[worms]], something\[[experts]] at Microsoft [[confirmed]]. (A Microsoft antivirus [[reward]] [[program]] [[led]] to the\teenager's [[arrest]].) [[During]] the five months [[preceding]] Jaschan's [[capture]], there\were at least 25 [[variants]] of Netsky and one of the port-scanning [[network]] worm\Sasser.""\\""Graham Cluley, [[senior]] [[technology]] [[consultant]] at Sophos, [[said]] it was staggeri ...\\","[[Looses]] the War on [[Terrorists]] \\""Sven Jaschan, self-confessed [[novelist]] of the Netsky and Sasser [[infection]], is\responsible for 70 percent of [[viruses]] [[injury]] in 2004, [[depending]] to a six-month\[[ebola]] roundup [[edit]] Wednesday by antivirus company Sophos.""\\""The 18-year-old Jaschan was [[pris]] into [[arrest]] in Germany in May by [[cp]] who\[[assert]] he had [[embraced]] [[platforms]] both the Netsky and Sasser [[larvae]], something\[[specialist]] at Microsoft [[said]]. (A Microsoft antivirus [[dividend]] [[scheme]] [[drove]] to the\teenager's [[nabbed]].) [[Onto]] the five months [[aforesaid]] Jaschan's [[harvests]], there\were at least 25 [[alternates]] of Netsky and one of the port-scanning [[web]] worm\Sasser.""\\""Graham Cluley, [[firstborn]] [[techs]] [[counsellor]] at Sophos, [[assert]] it was staggeri ...\\",0.0011032819747924805,0.0037621259689331055,3,3,3,1137,"Failed"
"FOAFKey: FOAF, PGP, [[Key]] [[Distribution]], and [[Bloom]] [[Filters]] \\FOAF/[[LOAF]]  and bloom [[filters]] [[have]] a [[lot]] of interesting [[properties]] for [[social]]\[[network]] and whitelist [[distribution]].\\I [[think]] we can go one [[level]] higher [[though]] and [[include]] GPG/OpenPGP [[key]]\fingerpring [[distribution]] in the FOAF [[file]] for [[simple]] web-of-trust [[based]] key\distribution.\\What if we used FOAF and [[included]] the PGP [[key]] [[fingerprint]](s) for [[identities]]?\This could [[mean]] a [[lot]].  You [[include]] the PGP [[key]] fingerprints within the FOAF\[[file]] of your [[direct]] [[friends]] and then [[include]] a bloom [[filter]] of the PGP [[key]]\[[fingerprints]] of your [[entire]] whitelist (the source FOAF [[file]] would of [[course]] [[need]]\to [[be]] [[encrypted]] ).\\Your whitelist would [[be]] [[populated]] from the [[social]] [[network]] as your [[client]]\[[discovered]] [[new]] identit ...\\","FOAFKey: FOAF, PGP, [[Primary]] [[Distributing]], and [[Flowers]] [[Sieve]] \\FOAF/[[QUICHE]]  and bloom [[filter]] [[hectare]] a [[batch]] of interesting [[objects]] for [[sociable]]\[[web]] and whitelist [[distributes]].\\I [[brainchild]] we can go one [[levels]] higher [[whether]] and [[containing]] GPG/OpenPGP [[elemental]]\fingerpring [[distributed]] in the FOAF [[repository]] for [[simplistic]] web-of-trust [[grassroots]] key\distribution.\\What if we used FOAF and [[containing]] the PGP [[elemental]] [[print]](s) for [[identification]]?\This could [[media]] a [[fate]].  You [[insertion]] the PGP [[elemental]] fingerprints within the FOAF\[[archives]] of your [[candid]] [[buddy]] and then [[consists]] a bloom [[screening]] of the PGP [[elemental]]\[[printer]] of your [[together]] whitelist (the source FOAF [[repository]] would of [[route]] [[require]]\to [[viens]] [[encoded]] ).\\Your whitelist would [[represented]] [[overpopulated]] from the [[congenial]] [[grids]] as your [[recipient]]\[[detected]] [[novel]] identit ...\\",0.0012604594230651855,0.00234907865524292,3,3,3,1499,"Failed"
"E-mail scam [[targets]] [[police]] chief [[Wiltshire]] Police warns about ""phishing"" after its [[fraud]] [[squad]] chief was [[targeted]].","E-mail scam [[destinations]] [[gendarme]] chief [[Gloucestershire]] Police warns about ""phishing"" after its [[swindler]] [[brigade]] chief was [[concentrate]].",0.0013034939765930176,0.982138991355896,3,2,3,246,"Successful"
"[[Card]] fraud unit nets 36,000 cards In its first two years, the UK's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.","[[Cards]] fraud unit nets 36,000 cards In its first two years, the UK's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.",0.2527129650115967,0.7124367952346802,3,2,3,51,"Successful"
